hour symbol vwap
"2019-01-30 12:00:00+00:00" TVIX 45.88
"2019-01-30 12:00:00+00:00" TER 36.91
"2019-01-30 12:00:00+00:00" INTC 46.51
"2019-01-30 12:00:00+00:00" PDD 30.17
"2019-01-30 12:00:00+00:00" NFLX 332.57
"2019-01-30 12:00:00+00:00" ZVZZT 10.02
"2019-01-30 12:00:00+00:00" TSLA 298.46
"2019-01-30 12:00:00+00:00" JVA 5.98
"2019-01-30 12:00:00+00:00" CLF 9.66
"2019-01-30 12:00:00+00:00" AMAT 38.58
"2019-01-30 12:00:00+00:00" JD 23.91
"2019-01-30 12:00:00+00:00" DIS 111.0
"2019-01-30 12:00:00+00:00" NVCN 0.73
"2019-01-30 12:00:00+00:00" SRTY 28.97
"2019-01-30 12:00:00+00:00" AMGN 187.69
"2019-01-30 12:00:00+00:00" PAYX 70.33
"2019-01-30 12:00:00+00:00" EBAY 33.82
"2019-01-30 12:00:00+00:00" GOGL 4.97
"2019-01-30 12:00:00+00:00" BOTZ 18.03
"2019-01-30 12:00:00+00:00" XLE 62.55
"2019-01-30 12:00:00+00:00" BSBR 12.9
"2019-01-30 12:00:00+00:00" MSFT 104.36
"2019-01-30 12:00:00+00:00" JNPR 24.88
"2019-01-30 12:00:00+00:00" NVS 84.92
"2019-01-30 12:00:00+00:00" BA 386.82
"2019-01-30 12:00:00+00:00" FRSX 2.05
"2019-01-30 12:00:00+00:00" IBN 10.37
"2019-01-30 12:00:00+00:00" TGE 24.63
"2019-01-30 12:00:00+00:00" QQQ 163.1
"2019-01-30 12:00:00+00:00" MMM 198.57
"2019-01-30 12:00:00+00:00" CAT 127.16
"2019-01-30 12:00:00+00:00" ETFC 47.21
"2019-01-30 12:00:00+00:00" AGN 143.44
"2019-01-30 12:00:00+00:00" ANTM 288.7
"2019-01-30 12:00:00+00:00" SYK 171.34
"2019-01-30 12:00:00+00:00" UNG 25.66
"2019-01-30 12:00:00+00:00" KOLD 19.21
"2019-01-30 12:00:00+00:00" IPCI 0.37
"2019-01-30 12:00:00+00:00" PBR 15.93
"2019-01-30 12:00:00+00:00" PANW 206.74
"2019-01-30 12:00:00+00:00" AVCO 5.67
"2019-01-30 12:00:00+00:00" PULM 0.2
"2019-01-30 12:00:00+00:00" SPY 264.95
"2019-01-30 12:00:00+00:00" DIA 247.91
"2019-01-30 12:00:00+00:00" GS 200.82
"2019-01-30 12:00:00+00:00" BHP 49.86
"2019-01-30 12:00:00+00:00" BBL 43.75
"2019-01-30 12:00:00+00:00" GE 8.94
"2019-01-30 12:00:00+00:00" XLK 65.27
"2019-01-30 12:00:00+00:00" PFE 40.79
"2019-01-30 12:00:00+00:00" RNN 0.66
"2019-01-30 12:00:00+00:00" CHKP 112.01
"2019-01-30 12:00:00+00:00" OCX 5.55
"2019-01-30 12:00:00+00:00" ABT 69.18
"2019-01-30 12:00:00+00:00" SLV 14.95
"2019-01-30 12:00:00+00:00" RMD 92.01
"2019-01-30 12:00:00+00:00" TMO 242.9
"2019-01-30 12:00:00+00:00" RYAAY 70.29
"2019-01-30 12:00:00+00:00" IR 97.86
"2019-01-30 12:00:00+00:00" COHR 115.0
"2019-01-30 12:00:00+00:00" TIS 1.24
"2019-01-30 12:00:00+00:00" FHB 26.23
"2019-01-30 12:00:00+00:00" SDOW 15.78
"2019-01-30 12:00:00+00:00" HD 180.93
"2019-01-30 12:00:00+00:00" EYEN 4.5
"2019-01-30 12:00:00+00:00" GILD 69.48
"2019-01-30 12:00:00+00:00" SBUX 67.12
"2019-01-30 12:00:00+00:00" SBS 11.8
"2019-01-30 12:00:00+00:00" V 136.08
"2019-01-30 12:00:00+00:00" SHW 409.98
"2019-01-30 12:00:00+00:00" GOOGL 1076.81
"2019-01-30 12:00:00+00:00" MU 38.38
"2019-01-30 12:00:00+00:00" GLD 124.13
"2019-01-30 12:00:00+00:00" BKNG 1820.05
"2019-01-30 12:00:00+00:00" DFEN 41.99
"2019-01-30 12:00:00+00:00" ADP 137.98
"2019-01-30 12:00:00+00:00" GOOG 1068.19
"2019-01-30 12:00:00+00:00" RIO 55.56
"2019-01-30 12:00:00+00:00" OSK 76.89
"2019-01-30 12:00:00+00:00" SIG 24.49
"2019-01-30 12:00:00+00:00" KLAC 102.84
"2019-01-30 12:00:00+00:00" DRIP 11.01
"2019-01-30 12:00:00+00:00" NBEV 6.94
"2019-01-30 12:00:00+00:00" TQQQ 43.02
"2019-01-30 12:00:00+00:00" BAC 29.47
"2019-01-30 12:00:00+00:00" MCD 179.02
"2019-01-30 12:00:00+00:00" VIV 13.04
"2019-01-30 13:00:00+00:00" NIO 6.8
"2019-01-30 13:00:00+00:00" IBB 107.26
"2019-01-30 13:00:00+00:00" JNPR 24.81
"2019-01-30 13:00:00+00:00" BABA 160.41
"2019-01-30 13:00:00+00:00" TRVN 1.07
"2019-01-30 13:00:00+00:00" MCD 182.28
"2019-01-30 13:00:00+00:00" MLNX 88.53
"2019-01-30 13:00:00+00:00" FHB 26.29
"2019-01-30 13:00:00+00:00" OSK 77.37
"2019-01-30 13:00:00+00:00" WHR 134.76
"2019-01-30 13:00:00+00:00" AAPL 161.8
"2019-01-30 13:00:00+00:00" ALGN 207.93
"2019-01-30 13:00:00+00:00" GOGL 4.95
"2019-01-30 13:00:00+00:00" CODX 2.59
"2019-01-30 13:00:00+00:00" VALE 12.35
"2019-01-30 13:00:00+00:00" BA 386.75
"2019-01-30 13:00:00+00:00" UVXY 59.16
"2019-01-30 13:00:00+00:00" FRSX 2.03
"2019-01-30 13:00:00+00:00" JD 23.94
"2019-01-30 13:00:00+00:00" PYPL 91.82
"2019-01-30 13:00:00+00:00" T 29.88
"2019-01-30 13:00:00+00:00" AMD 21.07
"2019-01-30 13:00:00+00:00" EYEN 4.17
"2019-01-30 13:00:00+00:00" SBS 11.6
"2019-01-30 13:00:00+00:00" SQ 70.41
"2019-01-30 13:00:00+00:00" ACIU 5.44
"2019-01-30 13:00:00+00:00" RWT 15.79
"2019-01-30 13:00:00+00:00" KL 30.13
"2019-01-30 13:00:00+00:00" XLNX 110.6
"2019-01-30 13:00:00+00:00" AVCO 6.07
"2019-01-30 13:00:00+00:00" NFLX 332.47
"2019-01-30 13:00:00+00:00" FB 145.73
"2019-01-30 13:00:00+00:00" IBM 134.21
"2019-01-30 13:00:00+00:00" TVIX 45.82
"2019-01-30 13:00:00+00:00" ABB 19.14
"2019-01-30 13:00:00+00:00" PAYX 70.4
"2019-01-30 13:00:00+00:00" PANW 206.01
"2019-01-30 13:00:00+00:00" UNG 25.5
"2019-01-30 13:00:00+00:00" AMZN 1620.01
"2019-01-30 13:00:00+00:00" UGAZ 38.67
"2019-01-30 13:00:00+00:00" BIIB 322.38
"2019-01-30 13:00:00+00:00" CANF 1.31
"2019-01-30 13:00:00+00:00" ANTM 292.01
"2019-01-30 13:00:00+00:00" QCOM 49.83
"2019-01-30 13:00:00+00:00" GOOG 1067.62
"2019-01-30 13:00:00+00:00" TSLA 299.29
"2019-01-30 13:00:00+00:00" PDD 30.1
"2019-01-30 13:00:00+00:00" SDOW 15.78
"2019-01-30 13:00:00+00:00" MSFT 104.55
"2019-01-30 13:00:00+00:00" EEM 42.18
"2019-01-30 13:00:00+00:00" CMCSA 35.9
"2019-01-30 13:00:00+00:00" COHR 114.31
"2019-01-30 13:00:00+00:00" ROKU 43.36
"2019-01-30 13:00:00+00:00" IWM 146.75
"2019-01-30 13:00:00+00:00" IPCI 0.36
"2019-01-30 13:00:00+00:00" JVA 5.85
"2019-01-30 13:00:00+00:00" QQQ 163.02
"2019-01-30 13:00:00+00:00" BTI 34.08
"2019-01-30 13:00:00+00:00" CZR 8.87
"2019-01-30 13:00:00+00:00" IBN 10.51
"2019-01-30 13:00:00+00:00" AGNC 17.96
"2019-01-30 13:00:00+00:00" NVDA 134.49
"2019-01-30 13:00:00+00:00" CGC 47.5
"2019-01-30 13:00:00+00:00" AMGN 187.68
"2019-01-30 13:00:00+00:00" IVZ 18.5
"2019-01-30 13:00:00+00:00" MKSI 75.87
"2019-01-30 13:00:00+00:00" VIV 13.11
"2019-01-30 13:00:00+00:00" GS 201.02
"2019-01-30 13:00:00+00:00" F 8.69
"2019-01-30 13:00:00+00:00" RCL 117.27
"2019-01-30 13:00:00+00:00" MS 42.36
"2019-01-30 13:00:00+00:00" CCL 57.23
"2019-01-30 13:00:00+00:00" GE 8.97
"2019-01-30 13:00:00+00:00" SYK 171.77
"2019-01-30 13:00:00+00:00" DUST 20.0
"2019-01-30 13:00:00+00:00" CGIX 0.26
"2019-01-30 13:00:00+00:00" WDC 43.22
"2019-01-30 13:00:00+00:00" PAAS 14.43
"2019-01-30 13:00:00+00:00" SPY 264.87
"2019-01-30 13:00:00+00:00" AU 13.74
"2019-01-30 13:00:00+00:00" ZVZZT 10.01
"2019-01-30 13:00:00+00:00" SIG 24.5
"2019-01-30 13:00:00+00:00" MU 38.35
"2019-01-30 13:00:00+00:00" GOOGL 1078.02
"2019-01-30 13:00:00+00:00" EWZ 44.3
"2019-01-30 13:00:00+00:00" RTN 173.1
"2019-01-30 13:00:00+00:00" YY 67.99
"2019-01-30 13:00:00+00:00" HPQ 21.98
"2019-01-30 13:00:00+00:00" AGN 142.81
"2019-01-30 13:00:00+00:00" CSCO 45.8
"2019-01-30 13:00:00+00:00" CRMD 1.83
"2019-01-30 13:00:00+00:00" RIOT 1.8
"2019-01-30 13:00:00+00:00" EBAY 33.64
"2019-01-30 13:00:00+00:00" XBI 80.33
"2019-01-30 13:00:00+00:00" WB 58.5
"2019-01-30 13:00:00+00:00" ZUO 21.18
"2019-01-30 13:00:00+00:00" INDA 32.06
"2019-01-30 13:00:00+00:00" SRPT 117.62
"2019-01-30 13:00:00+00:00" CHKP 111.58
"2019-01-30 13:00:00+00:00" YUMC 35.36
"2019-01-30 13:00:00+00:00" WMT 96.61
"2019-01-30 13:00:00+00:00" CRON 18.12
"2019-01-30 13:00:00+00:00" AVP 1.87
"2019-01-30 13:00:00+00:00" DISCA 27.25
"2019-01-30 13:00:00+00:00" AXSM 8.3
"2019-01-30 13:00:00+00:00" BZUN 34.52
"2019-01-30 13:00:00+00:00" SYMC 20.48
"2019-01-30 13:00:00+00:00" RNN 0.65
"2019-01-30 13:00:00+00:00" GDXJ 31.81
"2019-01-30 13:00:00+00:00" TWLO 101.51
"2019-01-30 13:00:00+00:00" AABA 65.82
"2019-01-30 13:00:00+00:00" CETV 3.05
"2019-01-30 13:00:00+00:00" SPXU 38.95
"2019-01-30 13:00:00+00:00" CUK 56.64
"2019-01-30 13:00:00+00:00" DIS 109.26
"2019-01-30 13:00:00+00:00" PBR 15.82
"2019-01-30 13:00:00+00:00" MELI 351.45
"2019-01-30 13:00:00+00:00" OCX 5.44
"2019-01-30 13:00:00+00:00" UDOW 84.55
"2019-01-30 13:00:00+00:00" CONN 20.75
"2019-01-30 13:00:00+00:00" INTC 46.57
"2019-01-30 13:00:00+00:00" CLF 9.75
"2019-01-30 13:00:00+00:00" SLAB 80.95
"2019-01-30 13:00:00+00:00" TUP 33.23
"2019-01-30 13:00:00+00:00" BTX 1.57
"2019-01-30 13:00:00+00:00" DGAZ 89.56
"2019-01-30 13:00:00+00:00" GDX 21.92
"2019-01-30 13:00:00+00:00" JNUG 10.45
"2019-01-30 13:00:00+00:00" INPX 2.22
"2019-01-30 13:00:00+00:00" PCG 14.32
"2019-01-30 13:00:00+00:00" RDHL 8.78
"2019-01-30 13:00:00+00:00" SDS 38.22
"2019-01-30 13:00:00+00:00" UPS 102.19
"2019-01-30 13:00:00+00:00" MIK 14.67
"2019-01-30 13:00:00+00:00" ADP 137.47
"2019-01-30 13:00:00+00:00" BNCL 15.34
"2019-01-30 13:00:00+00:00" TQQQ 43.04
"2019-01-30 13:00:00+00:00" BGR 11.58
"2019-01-30 13:00:00+00:00" BIDU 167.31
"2019-01-30 13:00:00+00:00" AKS 2.78
"2019-01-30 13:00:00+00:00" CLNC 15.31
"2019-01-30 13:00:00+00:00" DFS 67.22
"2019-01-30 13:00:00+00:00" TNA 54.47
"2019-01-30 13:00:00+00:00" BRZU 37.84
